	Acanthoeca_like_sp_10tr	Acropora_cervicornis	Aiptasia_pallida	Amoebidium	Amphimedon_queenslandica	Aphrocallistes_vastus	Aurelia_aurita	Beroe_abyssicola	Bolocera_tuediae	Botryllus_schlosseri	Branchiostoma_floridae	Buddenbrockia_plumatellae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Chondrilla_nucula	Ciona_intestinalis	Clytia_hemisphaerica	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Cyanea_capillata	Daphnia_pulex	Ectopleura_larynx	Edwardsiella_lineata	Enteromyxum_leei	Ephydatia_muelleri	Eunicella_cavolinii	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Helobdella_robusta	Homo_sapiens	Hormathia_digitata	Hydra_magnipapillata	Hydractinia_polyclina	Ilyanassa_obsoleta	Ixodes_scapularis	Kudoa_iwatai	Latimeria_menadoensis	Leucetta_chagosensis	Ministeria_vibrans_atcc50519	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Monosiga_ovata	Montastraea_faveolata	Myxobolus_cerebralis	Nanomia_bijuga	Nasonia_vitripennis	Nematostella_vectensis	Octopus_vulgaris	Oscarella	Oscarella_carmela	Patiria_miniata	Pediculus_humanus_corporis	Petromyzon_marinus	Petrosia_ficiformis	Pleurobrachia_pileus	Pocillopora_damicornis	Polypodium_hydriforme	Porites_australiensis	Saccoglossus_kowalevskii	Salpingoeca_sp_ATCC50818	Sarcotragus_fasciculatus	Sphaeroforma_arctica_jp610	Sphaeromyxa_zaharoni	Stephanoeca_diplocostata	Stomolophus_meleagris	Strigamia_maritima	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Tetracapsuloides_bryosalmonae	Thelohanellus_kitauei	Trichoplax_adhaerens	Tripedalia_cystophora	Urticina_eques	Vallicula_multiformis
Oscarella_carmela	0.986928104575163	0.973856209150327	0.986928104575163	0.967320261437909	0.986928104575163	0.986928104575163	0.986928104575163	0.980392156862745	0.986928104575163	0.973856209150327	0.986928104575163	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.901960784313726	0.986928104575163	0.986928104575163	0.751633986928105	0.986928104575163	0.986928104575163	0.941176470588235	0	0.986928104575163	0	0.986928104575163	0.823529411764706	0.973856209150327	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.973856209150327	0.980392156862745	0.986928104575163	0.973856209150327	0.96078431372549	0.980392156862745	0.986928104575163	0.986928104575163	0.973856209150327	0.947712418300654	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.96078431372549		0	0.947712418300654	0.986928104575163	0.986928104575163	0.980392156862745	0.973856209150327	0.986928104575163	0.973856209150327	0.986928104575163	0.986928104575163	0.986928104575163	0.967320261437909	0	0.986928104575163	0.986928104575163	0.973856209150327	0.986928104575163	0.96078431372549	0.96078431372549	0	0	0.96078431372549	0.967320261437909	0.92156862745098	0.973856209150327
Patiria_miniata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pediculus_humanus_corporis	0.96078431372549	0.96078431372549	0.96078431372549	0.928104575163399	0.954248366013072	0.954248366013072	0.96078431372549	0.947712418300654	0.96078431372549	0.954248366013072	0.96078431372549	0	0.96078431372549	0.947712418300654	0.947712418300654	0.96078431372549	0.96078431372549	0.901960784313726	0.954248366013072	0.954248366013072	0.712418300653595	0.96078431372549	0.96078431372549	0.908496732026144	0	0.947712418300654	0	0.954248366013072	0.790849673202614	0.96078431372549	0	0.96078431372549	0.96078431372549	0.96078431372549	0.96078431372549	0.947712418300654	0.96078431372549	0.954248366013072	0.96078431372549	0.947712418300654	0.928104575163399	0.947712418300654	0.954248366013072	0.96078431372549	0.96078431372549	0.96078431372549	0.96078431372549	0.954248366013072	0.96078431372549	0.96078431372549	0.92156862745098	0.947712418300654	0		0.96078431372549	0.954248366013072	0.947712418300654	0.96078431372549	0.96078431372549	0.96078431372549	0.96078431372549	0.954248366013072	0.954248366013072	0.928104575163399	0	0.96078431372549	0.96078431372549	0.96078431372549	0.96078431372549	0.928104575163399	0.928104575163399	0	0	0.947712418300654	0.954248366013072	0.895424836601307	0.947712418300654
Petromyzon_marinus	1	0.986928104575163	1	0.967320261437909	0.993464052287582	0.993464052287582	1	0.986928104575163	1	0.980392156862745	1	0	1	0.986928104575163	0.986928104575163	1	1	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	1	1	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.986928104575163	0	1	1	1	1	0.986928104575163	0.986928104575163	0.993464052287582	1	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	1	0.986928104575163	0.96078431372549	1	0.993464052287582	1	1	0.96078431372549	0.986928104575163	0	0.96078431372549		0.993464052287582	0.986928104575163	0.986928104575163	1	0.986928104575163	1	0.993464052287582	0.993464052287582	0.967320261437909	0	1	1	0.986928104575163	1	0.967320261437909	0.967320261437909	0	0	0.973856209150327	0.980392156862745	0.934640522875817	0.980392156862745
Petrosia_ficiformis	0.993464052287582	0.980392156862745	0.993464052287582	0.967320261437909	0.993464052287582	0.993464052287582	0.993464052287582	0.986928104575163	0.993464052287582	0.980392156862745	0.993464052287582	0	0.993464052287582	0.986928104575163	0.986928104575163	0.993464052287582	0.993464052287582	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	0.993464052287582	0.993464052287582	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.980392156862745	0	0.993464052287582	0.993464052287582	0.993464052287582	0.993464052287582	0.986928104575163	0.980392156862745	0.986928104575163	0.993464052287582	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	0.993464052287582	0.980392156862745	0.954248366013072	0.993464052287582	0.993464052287582	0.993464052287582	0.993464052287582	0.96078431372549	0.986928104575163	0	0.954248366013072	0.993464052287582		0.986928104575163	0.980392156862745	0.993464052287582	0.980392156862745	0.993464052287582	0.993464052287582	0.993464052287582	0.967320261437909	0	0.993464052287582	0.993464052287582	0.980392156862745	0.993464052287582	0.967320261437909	0.967320261437909	0	0	0.967320261437909	0.973856209150327	0.928104575163399	0.980392156862745
Pleurobrachia_pileus	0.986928104575163	0.973856209150327	0.986928104575163	0.96078431372549	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.973856209150327	0.986928104575163	0	0.986928104575163	0.980392156862745	0.980392156862745	0.986928104575163	0.986928104575163	0.895424836601307	0.986928104575163	0.986928104575163	0.745098039215686	0.986928104575163	0.986928104575163	0.941176470588235	0	0.980392156862745	0	0.986928104575163	0.830065359477124	0.973856209150327	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.980392156862745	0.973856209150327	0.980392156862745	0.986928104575163	0.967320261437909	0.96078431372549	0.986928104575163	0.986928104575163	0.986928104575163	0.973856209150327	0.947712418300654	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.954248366013072	0.980392156862745	0	0.947712418300654	0.986928104575163	0.986928104575163		0.973856209150327	0.986928104575163	0.973856209150327	0.986928104575163	0.986928104575163	0.986928104575163	0.96078431372549	0	0.986928104575163	0.986928104575163	0.973856209150327	0.986928104575163	0.96078431372549	0.96078431372549	0	0	0.96078431372549	0.967320261437909	0.92156862745098	0.980392156862745
Pocillopora_damicornis	0.986928104575163	0.986928104575163	0.986928104575163	0.954248366013072	0.980392156862745	0.980392156862745	0.986928104575163	0.973856209150327	0.986928104575163	0.980392156862745	0.986928104575163	0	0.986928104575163	0.973856209150327	0.973856209150327	0.986928104575163	0.986928104575163	0.901960784313726	0.980392156862745	0.980392156862745	0.738562091503268	0.986928104575163	0.986928104575163	0.934640522875817	0	0.973856209150327	0	0.980392156862745	0.816993464052288	0.986928104575163	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.973856209150327	0.986928104575163	0.980392156862745	0.986928104575163	0.973856209150327	0.954248366013072	0.973856209150327	0.980392156862745	0.986928104575163	0.986928104575163	0.96078431372549	0.986928104575163	0.980392156862745	0.986928104575163	0.986928104575163	0.947712418300654	0.973856209150327	0	0.96078431372549	0.986928104575163	0.980392156862745	0.973856209150327		0.986928104575163	0.986928104575163	0.986928104575163	0.980392156862745	0.980392156862745	0.954248366013072	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.954248366013072	0.954248366013072	0	0	0.973856209150327	0.980392156862745	0.92156862745098	0.973856209150327
Polypodium_hydriforme	1	0.986928104575163	1	0.967320261437909	0.993464052287582	0.993464052287582	1	0.986928104575163	1	0.980392156862745	1	0	1	0.986928104575163	0.986928104575163	1	1	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	1	1	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.986928104575163	0	1	1	1	1	0.986928104575163	0.986928104575163	0.993464052287582	1	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	1	0.986928104575163	0.96078431372549	1	0.993464052287582	1	1	0.96078431372549	0.986928104575163	0	0.96078431372549	1	0.993464052287582	0.986928104575163	0.986928104575163		0.986928104575163	1	0.993464052287582	0.993464052287582	0.967320261437909	0	1	1	0.986928104575163	1	0.967320261437909	0.967320261437909	0	0	0.973856209150327	0.980392156862745	0.934640522875817	0.980392156862745
Porites_australiensis	0.986928104575163	0.986928104575163	0.986928104575163	0.954248366013072	0.980392156862745	0.980392156862745	0.986928104575163	0.973856209150327	0.986928104575163	0.980392156862745	0.986928104575163	0	0.986928104575163	0.973856209150327	0.973856209150327	0.986928104575163	0.986928104575163	0.901960784313726	0.980392156862745	0.980392156862745	0.738562091503268	0.986928104575163	0.986928104575163	0.934640522875817	0	0.973856209150327	0	0.980392156862745	0.816993464052288	0.986928104575163	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.973856209150327	0.986928104575163	0.980392156862745	0.986928104575163	0.973856209150327	0.954248366013072	0.973856209150327	0.980392156862745	0.986928104575163	0.986928104575163	0.96078431372549	0.986928104575163	0.980392156862745	0.986928104575163	0.986928104575163	0.947712418300654	0.973856209150327	0	0.96078431372549	0.986928104575163	0.980392156862745	0.973856209150327	0.986928104575163	0.986928104575163		0.986928104575163	0.980392156862745	0.980392156862745	0.954248366013072	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.954248366013072	0.954248366013072	0	0	0.973856209150327	0.980392156862745	0.92156862745098	0.973856209150327
Saccoglossus_kowalevskii	1	0.986928104575163	1	0.967320261437909	0.993464052287582	0.993464052287582	1	0.986928104575163	1	0.980392156862745	1	0	1	0.986928104575163	0.986928104575163	1	1	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	1	1	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.986928104575163	0	1	1	1	1	0.986928104575163	0.986928104575163	0.993464052287582	1	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	1	0.986928104575163	0.96078431372549	1	0.993464052287582	1	1	0.96078431372549	0.986928104575163	0	0.96078431372549	1	0.993464052287582	0.986928104575163	0.986928104575163	1	0.986928104575163		0.993464052287582	0.993464052287582	0.967320261437909	0	1	1	0.986928104575163	1	0.967320261437909	0.967320261437909	0	0	0.973856209150327	0.980392156862745	0.934640522875817	0.980392156862745
Salpingoeca_sp_ATCC50818	0.993464052287582	0.980392156862745	0.993464052287582	0.967320261437909	0.993464052287582	0.993464052287582	0.993464052287582	0.986928104575163	0.993464052287582	0.980392156862745	0.993464052287582	0	0.993464052287582	0.986928104575163	0.986928104575163	0.993464052287582	0.993464052287582	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	0.993464052287582	0.993464052287582	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.980392156862745	0	0.993464052287582	0.993464052287582	0.993464052287582	0.993464052287582	0.986928104575163	0.980392156862745	0.986928104575163	0.993464052287582	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	0.993464052287582	0.980392156862745	0.954248366013072	0.993464052287582	0.993464052287582	0.993464052287582	0.993464052287582	0.96078431372549	0.986928104575163	0	0.954248366013072	0.993464052287582	0.993464052287582	0.986928104575163	0.980392156862745	0.993464052287582	0.980392156862745	0.993464052287582		0.993464052287582	0.967320261437909	0	0.993464052287582	0.993464052287582	0.980392156862745	0.993464052287582	0.967320261437909	0.967320261437909	0	0	0.967320261437909	0.973856209150327	0.928104575163399	0.980392156862745
Sarcotragus_fasciculatus	0.993464052287582	0.980392156862745	0.993464052287582	0.967320261437909	0.993464052287582	0.993464052287582	0.993464052287582	0.986928104575163	0.993464052287582	0.980392156862745	0.993464052287582	0	0.993464052287582	0.986928104575163	0.986928104575163	0.993464052287582	0.993464052287582	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	0.993464052287582	0.993464052287582	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.980392156862745	0	0.993464052287582	0.993464052287582	0.993464052287582	0.993464052287582	0.986928104575163	0.980392156862745	0.986928104575163	0.993464052287582	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	0.993464052287582	0.980392156862745	0.954248366013072	0.993464052287582	0.993464052287582	0.993464052287582	0.993464052287582	0.96078431372549	0.986928104575163	0	0.954248366013072	0.993464052287582	0.993464052287582	0.986928104575163	0.980392156862745	0.993464052287582	0.980392156862745	0.993464052287582	0.993464052287582		0.967320261437909	0	0.993464052287582	0.993464052287582	0.980392156862745	0.993464052287582	0.967320261437909	0.967320261437909	0	0	0.967320261437909	0.973856209150327	0.928104575163399	0.980392156862745
Sphaeroforma_arctica_jp610	0.967320261437909	0.954248366013072	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.967320261437909	0.954248366013072	0.967320261437909	0	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.895424836601307	0.967320261437909	0.967320261437909	0.751633986928105	0.967320261437909	0.967320261437909	0.92156862745098	0	0.967320261437909	0	0.967320261437909	0.823529411764706	0.954248366013072	0	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.954248366013072	0.96078431372549	0.967320261437909	0.954248366013072	0.96078431372549	0.96078431372549	0.967320261437909	0.967320261437909	0.954248366013072	0.928104575163399	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.967320261437909	0	0.928104575163399	0.967320261437909	0.967320261437909	0.96078431372549	0.954248366013072	0.967320261437909	0.954248366013072	0.967320261437909	0.967320261437909	0.967320261437909		0	0.967320261437909	0.967320261437909	0.954248366013072	0.967320261437909	0.96078431372549	0.96078431372549	0	0	0.947712418300654	0.947712418300654	0.92156862745098	0.954248366013072
Sphaeromyxa_zaharoni	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0
Stephanoeca_diplocostata	1	0.986928104575163	1	0.967320261437909	0.993464052287582	0.993464052287582	1	0.986928104575163	1	0.980392156862745	1	0	1	0.986928104575163	0.986928104575163	1	1	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	1	1	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.986928104575163	0	1	1	1	1	0.986928104575163	0.986928104575163	0.993464052287582	1	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	1	0.986928104575163	0.96078431372549	1	0.993464052287582	1	1	0.96078431372549	0.986928104575163	0	0.96078431372549	1	0.993464052287582	0.986928104575163	0.986928104575163	1	0.986928104575163	1	0.993464052287582	0.993464052287582	0.967320261437909	0		1	0.986928104575163	1	0.967320261437909	0.967320261437909	0	0	0.973856209150327	0.980392156862745	0.934640522875817	0.980392156862745
Stomolophus_meleagris	1	0.986928104575163	1	0.967320261437909	0.993464052287582	0.993464052287582	1	0.986928104575163	1	0.980392156862745	1	0	1	0.986928104575163	0.986928104575163	1	1	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	1	1	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.986928104575163	0	1	1	1	1	0.986928104575163	0.986928104575163	0.993464052287582	1	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	1	0.986928104575163	0.96078431372549	1	0.993464052287582	1	1	0.96078431372549	0.986928104575163	0	0.96078431372549	1	0.993464052287582	0.986928104575163	0.986928104575163	1	0.986928104575163	1	0.993464052287582	0.993464052287582	0.967320261437909	0	1		0.986928104575163	1	0.967320261437909	0.967320261437909	0	0	0.973856209150327	0.980392156862745	0.934640522875817	0.980392156862745
Strigamia_maritima	0.986928104575163	0.986928104575163	0.986928104575163	0.954248366013072	0.980392156862745	0.980392156862745	0.986928104575163	0.973856209150327	0.986928104575163	0.980392156862745	0.986928104575163	0	0.986928104575163	0.973856209150327	0.973856209150327	0.986928104575163	0.986928104575163	0.901960784313726	0.980392156862745	0.980392156862745	0.738562091503268	0.986928104575163	0.986928104575163	0.934640522875817	0	0.973856209150327	0	0.980392156862745	0.816993464052288	0.986928104575163	0	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.973856209150327	0.986928104575163	0.980392156862745	0.986928104575163	0.973856209150327	0.954248366013072	0.973856209150327	0.980392156862745	0.986928104575163	0.986928104575163	0.96078431372549	0.986928104575163	0.980392156862745	0.986928104575163	0.986928104575163	0.947712418300654	0.973856209150327	0	0.96078431372549	0.986928104575163	0.980392156862745	0.973856209150327	0.986928104575163	0.986928104575163	0.986928104575163	0.986928104575163	0.980392156862745	0.980392156862745	0.954248366013072	0	0.986928104575163	0.986928104575163		0.986928104575163	0.954248366013072	0.954248366013072	0	0	0.973856209150327	0.980392156862745	0.92156862745098	0.973856209150327
Strongylocentrotus_purpuratus	1	0.986928104575163	1	0.967320261437909	0.993464052287582	0.993464052287582	1	0.986928104575163	1	0.980392156862745	1	0	1	0.986928104575163	0.986928104575163	1	1	0.901960784313726	0.993464052287582	0.993464052287582	0.751633986928105	1	1	0.947712418300654	0	0.986928104575163	0	0.993464052287582	0.830065359477124	0.986928104575163	0	1	1	1	1	0.986928104575163	0.986928104575163	0.993464052287582	1	0.973856209150327	0.967320261437909	0.986928104575163	0.993464052287582	1	0.986928104575163	0.96078431372549	1	0.993464052287582	1	1	0.96078431372549	0.986928104575163	0	0.96078431372549	1	0.993464052287582	0.986928104575163	0.986928104575163	1	0.986928104575163	1	0.993464052287582	0.993464052287582	0.967320261437909	0	1	1	0.986928104575163		0.967320261437909	0.967320261437909	0	0	0.973856209150327	0.980392156862745	0.934640522875817	0.980392156862745
Sycon_ciliatum	0.967320261437909	0.954248366013072	0.967320261437909	0.96078431372549	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.967320261437909	0.954248366013072	0.967320261437909	0	0.967320261437909	0.96078431372549	0.96078431372549	0.967320261437909	0.967320261437909	0.888888888888889	0.967320261437909	0.967320261437909	0.751633986928105	0.967320261437909	0.967320261437909	0.92156862745098	0	0.96078431372549	0	0.967320261437909	0.830065359477124	0.954248366013072	0	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.954248366013072	0.96078431372549	0.967320261437909	0.947712418300654	0.967320261437909	0.96078431372549	0.967320261437909	0.967320261437909	0.954248366013072	0.928104575163399	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.96078431372549	0	0.928104575163399	0.967320261437909	0.967320261437909	0.96078431372549	0.954248366013072	0.967320261437909	0.954248366013072	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0	0.967320261437909	0.967320261437909	0.954248366013072	0.967320261437909		0.967320261437909	0	0	0.947712418300654	0.947712418300654	0.928104575163399	0.954248366013072
Sycon_coactum	0.967320261437909	0.954248366013072	0.967320261437909	0.96078431372549	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.967320261437909	0.954248366013072	0.967320261437909	0	0.967320261437909	0.96078431372549	0.96078431372549	0.967320261437909	0.967320261437909	0.888888888888889	0.967320261437909	0.967320261437909	0.751633986928105	0.967320261437909	0.967320261437909	0.92156862745098	0	0.96078431372549	0	0.967320261437909	0.830065359477124	0.954248366013072	0	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.954248366013072	0.96078431372549	0.967320261437909	0.947712418300654	0.967320261437909	0.96078431372549	0.967320261437909	0.967320261437909	0.954248366013072	0.928104575163399	0.967320261437909	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0.96078431372549	0	0.928104575163399	0.967320261437909	0.967320261437909	0.96078431372549	0.954248366013072	0.967320261437909	0.954248366013072	0.967320261437909	0.967320261437909	0.967320261437909	0.96078431372549	0	0.967320261437909	0.967320261437909	0.954248366013072	0.967320261437909	0.967320261437909		0	0	0.947712418300654	0.947712418300654	0.928104575163399	0.954248366013072
Tetracapsuloides_bryosalmonae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0
Thelohanellus_kitauei	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0
Trichoplax_adhaerens	0.973856209150327	0.973856209150327	0.973856209150327	0.947712418300654	0.967320261437909	0.967320261437909	0.973856209150327	0.96078431372549	0.973856209150327	0.967320261437909	0.973856209150327	0	0.973856209150327	0.96078431372549	0.96078431372549	0.973856209150327	0.973856209150327	0.895424836601307	0.967320261437909	0.967320261437909	0.73202614379085	0.973856209150327	0.973856209150327	0.92156862745098	0	0.96078431372549	0	0.967320261437909	0.810457516339869	0.973856209150327	0	0.973856209150327	0.973856209150327	0.973856209150327	0.973856209150327	0.96078431372549	0.973856209150327	0.973856209150327	0.973856209150327	0.96078431372549	0.947712418300654	0.96078431372549	0.967320261437909	0.973856209150327	0.973856209150327	0.947712418300654	0.973856209150327	0.967320261437909	0.973856209150327	0.973856209150327	0.941176470588235	0.96078431372549	0	0.947712418300654	0.973856209150327	0.967320261437909	0.96078431372549	0.973856209150327	0.973856209150327	0.973856209150327	0.973856209150327	0.967320261437909	0.967320261437909	0.947712418300654	0	0.973856209150327	0.973856209150327	0.973856209150327	0.973856209150327	0.947712418300654	0.947712418300654	0	0		0.967320261437909	0.915032679738562	0.96078431372549
Tripedalia_cystophora	0.980392156862745	0.980392156862745	0.980392156862745	0.947712418300654	0.973856209150327	0.973856209150327	0.980392156862745	0.967320261437909	0.980392156862745	0.973856209150327	0.980392156862745	0	0.980392156862745	0.967320261437909	0.967320261437909	0.980392156862745	0.980392156862745	0.895424836601307	0.973856209150327	0.973856209150327	0.738562091503268	0.980392156862745	0.980392156862745	0.928104575163399	0	0.967320261437909	0	0.973856209150327	0.810457516339869	0.980392156862745	0	0.980392156862745	0.980392156862745	0.980392156862745	0.980392156862745	0.967320261437909	0.980392156862745	0.973856209150327	0.980392156862745	0.967320261437909	0.947712418300654	0.967320261437909	0.973856209150327	0.980392156862745	0.980392156862745	0.954248366013072	0.980392156862745	0.973856209150327	0.980392156862745	0.980392156862745	0.941176470588235	0.967320261437909	0	0.954248366013072	0.980392156862745	0.973856209150327	0.967320261437909	0.980392156862745	0.980392156862745	0.980392156862745	0.980392156862745	0.973856209150327	0.973856209150327	0.947712418300654	0	0.980392156862745	0.980392156862745	0.980392156862745	0.980392156862745	0.947712418300654	0.947712418300654	0	0	0.967320261437909		0.915032679738562	0.967320261437909
Urticina_eques	0.934640522875817	0.92156862745098	0.934640522875817	0.92156862745098	0.928104575163399	0.928104575163399	0.934640522875817	0.92156862745098	0.934640522875817	0.915032679738562	0.934640522875817	0	0.934640522875817	0.92156862745098	0.92156862745098	0.934640522875817	0.934640522875817	0.849673202614379	0.928104575163399	0.928104575163399	0.751633986928105	0.934640522875817	0.934640522875817	0.882352941176471	0	0.92156862745098	0	0.928104575163399	0.830065359477124	0.92156862745098	0	0.934640522875817	0.934640522875817	0.934640522875817	0.934640522875817	0.92156862745098	0.92156862745098	0.928104575163399	0.934640522875817	0.908496732026144	0.928104575163399	0.92156862745098	0.928104575163399	0.934640522875817	0.92156862745098	0.895424836601307	0.934640522875817	0.928104575163399	0.934640522875817	0.934640522875817	0.92156862745098	0.92156862745098	0	0.895424836601307	0.934640522875817	0.928104575163399	0.92156862745098	0.92156862745098	0.934640522875817	0.92156862745098	0.934640522875817	0.928104575163399	0.928104575163399	0.92156862745098	0	0.934640522875817	0.934640522875817	0.92156862745098	0.934640522875817	0.928104575163399	0.928104575163399	0	0	0.915032679738562	0.915032679738562		0.915032679738562
Vallicula_multiformis	0.980392156862745	0.973856209150327	0.980392156862745	0.954248366013072	0.980392156862745	0.980392156862745	0.980392156862745	0.980392156862745	0.980392156862745	0.973856209150327	0.980392156862745	0	0.980392156862745	0.973856209150327	0.973856209150327	0.980392156862745	0.980392156862745	0.895424836601307	0.980392156862745	0.980392156862745	0.738562091503268	0.980392156862745	0.980392156862745	0.934640522875817	0	0.973856209150327	0	0.980392156862745	0.823529411764706	0.973856209150327	0	0.980392156862745	0.980392156862745	0.980392156862745	0.980392156862745	0.973856209150327	0.973856209150327	0.973856209150327	0.980392156862745	0.967320261437909	0.954248366013072	0.980392156862745	0.980392156862745	0.980392156862745	0.973856209150327	0.947712418300654	0.980392156862745	0.980392156862745	0.980392156862745	0.980392156862745	0.947712418300654	0.973856209150327	0	0.947712418300654	0.980392156862745	0.980392156862745	0.980392156862745	0.973856209150327	0.980392156862745	0.973856209150327	0.980392156862745	0.980392156862745	0.980392156862745	0.954248366013072	0	0.980392156862745	0.980392156862745	0.973856209150327	0.980392156862745	0.954248366013072	0.954248366013072	0	0	0.96078431372549	0.967320261437909	0.915032679738562	
