	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Chondrilla_nucula	0.0634920634920635	0.0634920634920635	0.0634920634920635	0	0.0634920634920635	0.0634920634920635	0.0634920634920635	0.0634920634920635	0.0529100529100529	0	0.0634920634920635	0.0211640211640212	0.0158730158730159	0.0634920634920635	0.0211640211640212	0.0423280423280423	0.0634920634920635	0.0634920634920635	0.0634920634920635	0.0634920634920635	0.0634920634920635		0.0476190476190476	0	0.0211640211640212	0	0.00529100529100529	0.0317460317460317	0.0529100529100529	0.0634920634920635	0	0.0158730158730159	0.037037037037037	0.0634920634920635	0.0634920634920635	0.00529100529100529	0.0529100529100529	0	0.0634920634920635	0.0634920634920635	0	0.0634920634920635	0.0105820105820106	0.0582010582010582	0	0	0.0264550264550265	0	0	0	0.0529100529100529	0.0211640211640212	0.0158730158730159	0	0	0.0634920634920635	0	0.0634920634920635	0.0634920634920635	0.0105820105820106	0.0529100529100529	0	0.0634920634920635	0.0105820105820106	0.0105820105820106	0	0.0634920634920635	0.0423280423280423	0	0.0634920634920635	0.00529100529100529	0.0317460317460317	0.0105820105820106	0.0634920634920635	0.0634920634920635	0.0476190476190476	0.00529100529100529	0.0476190476190476	0.0211640211640212	0.0634920634920635	0	0.0158730158730159	0.0634920634920635	0.0634920634920635	0.0634920634920635	0.0634920634920635	0.0634920634920635	0.0105820105820106	0.037037037037037	0	0	0.0264550264550265	0	0.0529100529100529	0	0	0
Clathrina_coriacea	0.386243386243386	0.0687830687830688	0.0687830687830688	0	0.386243386243386	0.386243386243386	0.386243386243386	0.386243386243386	0.0687830687830688	0	0.386243386243386	0.0634920634920635	0.0158730158730159	0.386243386243386	0.0211640211640212	0.238095238095238	0.386243386243386	0.386243386243386	0.386243386243386	0.386243386243386	0.386243386243386	0.0476190476190476		0	0.0158730158730159	0	0.00529100529100529	0.0740740740740741	0.386243386243386	0.386243386243386	0	0.0264550264550265	0.0476190476190476	0.386243386243386	0.386243386243386	0	0.0687830687830688	0	0.386243386243386	0.386243386243386	0	0.386243386243386	0.0105820105820106	0.386243386243386	0.216931216931217	0	0.0529100529100529	0	0	0	0.386243386243386	0.0423280423280423	0.0158730158730159	0	0	0.386243386243386	0	0.386243386243386	0.386243386243386	0	0.0634920634920635	0	0.386243386243386	0.0105820105820106	0.137566137566138	0	0.386243386243386	0.0476190476190476	0	0.386243386243386	0.00529100529100529	0.0211640211640212	0.0158730158730159	0.386243386243386	0.386243386243386	0.0846560846560847	0	0.0634920634920635	0.0317460317460317	0.386243386243386	0	0.0158730158730159	0.386243386243386	0.386243386243386	0.386243386243386	0.386243386243386	0.386243386243386	0	0.0476190476190476	0	0	0.0423280423280423	0.0105820105820106	0.105820105820106	0	0	0
Clytia_hemisphaerica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Codosiga_hollandica_17	0.0476190476190476	0.0476190476190476	0.0476190476190476	0	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0264550264550265	0	0.0476190476190476	0.0158730158730159	0.0158730158730159	0.0476190476190476	0.0158730158730159	0.0317460317460317	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0211640211640212	0.0158730158730159	0		0	0.00529100529100529	0	0.0158730158730159	0.0476190476190476	0	0.0264550264550265	0.0105820105820106	0.0476190476190476	0.0476190476190476	0	0.037037037037037	0	0.0476190476190476	0.0476190476190476	0	0.0476190476190476	0.0105820105820106	0.0264550264550265	0	0	0.0211640211640212	0	0	0	0.0158730158730159	0.0211640211640212	0.0158730158730159	0	0	0.0476190476190476	0	0.0476190476190476	0.0476190476190476	0.0317460317460317	0.0476190476190476	0	0.0476190476190476	0.0105820105820106	0.0105820105820106	0	0.0476190476190476	0.0317460317460317	0	0.0476190476190476	0.00529100529100529	0.0476190476190476	0.0105820105820106	0.0476190476190476	0.0476190476190476	0.0158730158730159	0	0.037037037037037	0.0317460317460317	0.0476190476190476	0.00529100529100529	0.0158730158730159	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0476190476190476	0.0105820105820106	0.0317460317460317	0	0	0	0	0.0264550264550265	0	0	0.00529100529100529
Coeloplana_species	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corticium_candelabrum	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0		0	0.00529100529100529	0.00529100529100529	0	0	0	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0	0.00529100529100529	0	0	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0	0	0	0	0	0.00529100529100529	0	0	0
Craspedacusta_sowerbyi	0.312169312169312	0.0846560846560847	0.0846560846560847	0	0.312169312169312	0.312169312169312	0.312169312169312	0.312169312169312	0.0634920634920635	0	0.312169312169312	0	0	0.312169312169312	0	0.312169312169312	0.312169312169312	0.312169312169312	0.312169312169312	0.312169312169312	0.312169312169312	0.0317460317460317	0.0740740740740741	0	0	0	0		0.312169312169312	0.312169312169312	0	0.037037037037037	0.116402116402116	0.312169312169312	0.312169312169312	0	0.0634920634920635	0.00529100529100529	0.312169312169312	0.312169312169312	0	0.312169312169312	0.00529100529100529	0.312169312169312	0.0423280423280423	0	0	0.0793650793650794	0	0	0.232804232804233	0	0	0.00529100529100529	0	0.312169312169312	0	0.312169312169312	0.312169312169312	0	0.0476190476190476	0	0.312169312169312	0	0.0423280423280423	0	0.312169312169312	0.285714285714286	0	0.312169312169312	0	0	0.00529100529100529	0.312169312169312	0.312169312169312	0.0634920634920635	0	0.116402116402116	0.037037037037037	0.312169312169312	0	0	0.312169312169312	0.312169312169312	0.312169312169312	0.312169312169312	0.312169312169312	0	0.0899470899470899	0	0	0.0317460317460317	0	0.0634920634920635	0	0	0
Crassostrea_gigas	0.624338624338624	0.105820105820106	0.105820105820106	0	0.624338624338624	0.624338624338624	0.624338624338624	0.624338624338624	0.0846560846560847	0	0.624338624338624	0.0634920634920635	0.0158730158730159	0.624338624338624	0.0211640211640212	0.476190476190476	0.624338624338624	0.624338624338624	0.624338624338624	0.624338624338624	0.624338624338624	0.0529100529100529	0.386243386243386	0	0.0158730158730159	0	0.00529100529100529	0.312169312169312		0.624338624338624	0	0.037037037037037	0.116402116402116	0.624338624338624	0.624338624338624	0	0.0846560846560847	0.00529100529100529	0.624338624338624	0.624338624338624	0	0.624338624338624	0.0158730158730159	0.624338624338624	0.232804232804233	0	0.0529100529100529	0.0793650793650794	0	0	0.544973544973545	0.0423280423280423	0.0158730158730159	0.00529100529100529	0	0.624338624338624	0	0.624338624338624	0.624338624338624	0	0.0687830687830688	0	0.624338624338624	0.0105820105820106	0.153439153439153	0	0.624338624338624	0.285714285714286	0	0.624338624338624	0.00529100529100529	0.0211640211640212	0.0211640211640212	0.624338624338624	0.624338624338624	0.100529100529101	0	0.132275132275132	0.037037037037037	0.624338624338624	0	0.0158730158730159	0.624338624338624	0.624338624338624	0.624338624338624	0.624338624338624	0.624338624338624	0	0.0899470899470899	0	0	0.0423280423280423	0.0105820105820106	0.121693121693122	0	0	0
Creolimax_fragrantissima	1	0.481481481481481	0.481481481481481	0	1	1	1	1	0.137566137566138	0	1	0.0634920634920635	0.0158730158730159	1	0.0211640211640212	0.851851851851852	1	1	1	1	1	0.0634920634920635	0.386243386243386	0	0.0476190476190476	0	0.00529100529100529	0.312169312169312	0.624338624338624		0	0.121693121693122	0.169312169312169	1	1	0.0105820105820106	0.195767195767196	0.0899470899470899	1	1	0.00529100529100529	1	0.0158730158730159	0.735449735449735	0.232804232804233	0	0.201058201058201	0.17989417989418	0	0	0.544973544973545	0.0740740740740741	0.037037037037037	0.00529100529100529	0	1	0	1	1	0.142857142857143	0.444444444444444	0	1	0.0105820105820106	0.153439153439153	0	1	0.661375661375661	0	1	0.00529100529100529	0.375661375661376	0.0211640211640212	1	1	0.100529100529101	0.0211640211640212	0.227513227513228	0.412698412698413	1	0.0687830687830688	0.0846560846560847	1	1	1	1	1	0.0529100529100529	0.132275132275132	0	0	0.0634920634920635	0.0317460317460317	0.174603174603175	0	0	0.00529100529100529
Daphnia_pulex	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Diaphanoeca_grandis_RI_01	0.121693121693122	0.111111111111111	0.111111111111111	0	0.121693121693122	0.121693121693122	0.121693121693122	0.121693121693122	0.0634920634920635	0	0.121693121693122	0	0	0.121693121693122	0	0.121693121693122	0.121693121693122	0.121693121693122	0.121693121693122	0.121693121693122	0.121693121693122	0.0158730158730159	0.0264550264550265	0	0.0264550264550265	0	0	0.037037037037037	0.037037037037037	0.121693121693122	0		0.0476190476190476	0.121693121693122	0.121693121693122	0.00529100529100529	0.0793650793650794	0.00529100529100529	0.121693121693122	0.121693121693122	0.00529100529100529	0.121693121693122	0.00529100529100529	0.0423280423280423	0.0105820105820106	0	0.0317460317460317	0.0211640211640212	0	0	0.037037037037037	0	0	0	0	0.121693121693122	0	0.121693121693122	0.121693121693122	0.0582010582010582	0.111111111111111	0	0.121693121693122	0	0.0105820105820106	0	0.121693121693122	0.121693121693122	0	0.121693121693122	0	0.0846560846560847	0.00529100529100529	0.121693121693122	0.121693121693122	0.0264550264550265	0	0.0846560846560847	0.111111111111111	0.121693121693122	0.0264550264550265	0.0317460317460317	0.121693121693122	0.121693121693122	0.121693121693122	0.121693121693122	0.121693121693122	0.0211640211640212	0.0634920634920635	0	0	0.0158730158730159	0	0.0634920634920635	0	0	0
Didymoeca_costata_10	0.169312169312169	0.132275132275132	0.132275132275132	0	0.169312169312169	0.169312169312169	0.169312169312169	0.169312169312169	0.0793650793650794	0	0.169312169312169	0	0	0.169312169312169	0	0.169312169312169	0.169312169312169	0.169312169312169	0.169312169312169	0.169312169312169	0.169312169312169	0.037037037037037	0.0476190476190476	0	0.0105820105820106	0	0	0.116402116402116	0.116402116402116	0.169312169312169	0	0.0476190476190476		0.169312169312169	0.169312169312169	0.00529100529100529	0.0793650793650794	0.0264550264550265	0.169312169312169	0.169312169312169	0	0.169312169312169	0	0.153439153439153	0	0	0.0317460317460317	0.0264550264550265	0	0	0.116402116402116	0.0211640211640212	0.0105820105820106	0.00529100529100529	0	0.169312169312169	0	0.169312169312169	0.169312169312169	0.0264550264550265	0.100529100529101	0	0.169312169312169	0	0	0	0.169312169312169	0.169312169312169	0	0.169312169312169	0	0.037037037037037	0	0.169312169312169	0.169312169312169	0.0634920634920635	0	0.142857142857143	0.0899470899470899	0.169312169312169	0.037037037037037	0.0423280423280423	0.169312169312169	0.169312169312169	0.169312169312169	0.169312169312169	0.169312169312169	0.0264550264550265	0.0952380952380952	0	0	0.0423280423280423	0.0105820105820106	0.0793650793650794	0	0	0.00529100529100529
Dryodora_glandiformis	1	0.481481481481481	0.481481481481481	0	1	1	1	1	0.137566137566138	0	1	0.0634920634920635	0.0158730158730159	1	0.0211640211640212	0.851851851851852	1	1	1	1	1	0.0634920634920635	0.386243386243386	0	0.0476190476190476	0	0.00529100529100529	0.312169312169312	0.624338624338624	1	0	0.121693121693122	0.169312169312169		1	0.0105820105820106	0.195767195767196	0.0899470899470899	1	1	0.00529100529100529	1	0.0158730158730159	0.735449735449735	0.232804232804233	0	0.201058201058201	0.17989417989418	0	0	0.544973544973545	0.0740740740740741	0.037037037037037	0.00529100529100529	0	1	0	1	1	0.142857142857143	0.444444444444444	0	1	0.0105820105820106	0.153439153439153	0	1	0.661375661375661	0	1	0.00529100529100529	0.375661375661376	0.0211640211640212	1	1	0.100529100529101	0.0211640211640212	0.227513227513228	0.412698412698413	1	0.0687830687830688	0.0846560846560847	1	1	1	1	1	0.0529100529100529	0.132275132275132	0	0	0.0634920634920635	0.0317460317460317	0.174603174603175	0	0	0.00529100529100529
Edwardsiella_lineata	1	0.481481481481481	0.481481481481481	0	1	1	1	1	0.137566137566138	0	1	0.0634920634920635	0.0158730158730159	1	0.0211640211640212	0.851851851851852	1	1	1	1	1	0.0634920634920635	0.386243386243386	0	0.0476190476190476	0	0.00529100529100529	0.312169312169312	0.624338624338624	1	0	0.121693121693122	0.169312169312169	1		0.0105820105820106	0.195767195767196	0.0899470899470899	1	1	0.00529100529100529	1	0.0158730158730159	0.735449735449735	0.232804232804233	0	0.201058201058201	0.17989417989418	0	0	0.544973544973545	0.0740740740740741	0.037037037037037	0.00529100529100529	0	1	0	1	1	0.142857142857143	0.444444444444444	0	1	0.0105820105820106	0.153439153439153	0	1	0.661375661375661	0	1	0.00529100529100529	0.375661375661376	0.0211640211640212	1	1	0.100529100529101	0.0211640211640212	0.227513227513228	0.412698412698413	1	0.0687830687830688	0.0846560846560847	1	1	1	1	1	0.0529100529100529	0.132275132275132	0	0	0.0634920634920635	0.0317460317460317	0.174603174603175	0	0	0.00529100529100529
Ephydatia_muelleri	0.0105820105820106	0.0105820105820106	0.0105820105820106	0	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0	0.0105820105820106	0	0	0.0105820105820106	0	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.00529100529100529	0	0	0	0	0	0	0	0.0105820105820106	0	0.00529100529100529	0.00529100529100529	0.0105820105820106	0.0105820105820106		0.0105820105820106	0	0.0105820105820106	0.0105820105820106	0	0.0105820105820106	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105820105820106	0	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0	0.0105820105820106	0	0	0	0.0105820105820106	0.0105820105820106	0	0.0105820105820106	0	0.0105820105820106	0	0.0105820105820106	0.0105820105820106	0	0.00529100529100529	0	0.0105820105820106	0.0105820105820106	0.00529100529100529	0.00529100529100529	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0.0105820105820106	0	0	0	0	0	0.0105820105820106	0	0	0
Euplectella_aspergillum	0.195767195767196	0.17989417989418	0.17989417989418	0	0.195767195767196	0.195767195767196	0.195767195767196	0.195767195767196	0.137566137566138	0	0.195767195767196	0.0211640211640212	0.0158730158730159	0.195767195767196	0.0211640211640212	0.174603174603175	0.195767195767196	0.195767195767196	0.195767195767196	0.195767195767196	0.195767195767196	0.0529100529100529	0.0687830687830688	0	0.037037037037037	0	0.00529100529100529	0.0634920634920635	0.0846560846560847	0.195767195767196	0	0.0793650793650794	0.0793650793650794	0.195767195767196	0.195767195767196	0.0105820105820106		0	0.195767195767196	0.195767195767196	0.00529100529100529	0.195767195767196	0.0105820105820106	0.0846560846560847	0	0	0.0211640211640212	0	0	0	0.0846560846560847	0.0211640211640212	0.0158730158730159	0	0	0.195767195767196	0	0.195767195767196	0.195767195767196	0.105820105820106	0.17989417989418	0	0.195767195767196	0.0105820105820106	0.0105820105820106	0	0.195767195767196	0.174603174603175	0	0.195767195767196	0.00529100529100529	0.132275132275132	0.0105820105820106	0.195767195767196	0.195767195767196	0.0846560846560847	0.0211640211640212	0.116402116402116	0.148148148148148	0.195767195767196	0.0158730158730159	0.0423280423280423	0.195767195767196	0.195767195767196	0.195767195767196	0.195767195767196	0.195767195767196	0.0211640211640212	0.0846560846560847	0	0	0.0317460317460317	0	0.137566137566138	0	0	0
Euplokamis_dunlapae	0.0899470899470899	0.0846560846560847	0.0846560846560847	0	0.0899470899470899	0.0899470899470899	0.0899470899470899	0.0899470899470899	0	0	0.0899470899470899	0	0	0.0899470899470899	0	0.0899470899470899	0.0899470899470899	0.0899470899470899	0.0899470899470899	0.0899470899470899	0.0899470899470899	0	0	0	0	0	0	0.00529100529100529	0.00529100529100529	0.0899470899470899	0	0.00529100529100529	0.0264550264550265	0.0899470899470899	0.0899470899470899	0	0		0.0899470899470899	0.0899470899470899	0	0.0899470899470899	0	0.0846560846560847	0	0	0.0846560846560847	0.0899470899470899	0	0	0	0.0264550264550265	0.0211640211640212	0	0	0.0899470899470899	0	0.0899470899470899	0.0899470899470899	0	0.0846560846560847	0	0.0899470899470899	0	0	0	0.0899470899470899	0.0899470899470899	0	0.0899470899470899	0	0.0634920634920635	0	0.0899470899470899	0.0899470899470899	0	0	0.0423280423280423	0.0846560846560847	0.0899470899470899	0.0423280423280423	0.037037037037037	0.0899470899470899	0.0899470899470899	0.0899470899470899	0.0899470899470899	0.0899470899470899	0	0	0	0	0.0211640211640212	0.0211640211640212	0	0	0	0
Gorgonia_ventalina	1	0.481481481481481	0.481481481481481	0	1	1	1	1	0.137566137566138	0	1	0.0634920634920635	0.0158730158730159	1	0.0211640211640212	0.851851851851852	1	1	1	1	1	0.0634920634920635	0.386243386243386	0	0.0476190476190476	0	0.00529100529100529	0.312169312169312	0.624338624338624	1	0	0.121693121693122	0.169312169312169	1	1	0.0105820105820106	0.195767195767196	0.0899470899470899		1	0.00529100529100529	1	0.0158730158730159	0.735449735449735	0.232804232804233	0	0.201058201058201	0.17989417989418	0	0	0.544973544973545	0.0740740740740741	0.037037037037037	0.00529100529100529	0	1	0	1	1	0.142857142857143	0.444444444444444	0	1	0.0105820105820106	0.153439153439153	0	1	0.661375661375661	0	1	0.00529100529100529	0.375661375661376	0.0211640211640212	1	1	0.100529100529101	0.0211640211640212	0.227513227513228	0.412698412698413	1	0.0687830687830688	0.0846560846560847	1	1	1	1	1	0.0529100529100529	0.132275132275132	0	0	0.0634920634920635	0.0317460317460317	0.174603174603175	0	0	0.00529100529100529
Grantia_compressa	1	0.481481481481481	0.481481481481481	0	1	1	1	1	0.137566137566138	0	1	0.0634920634920635	0.0158730158730159	1	0.0211640211640212	0.851851851851852	1	1	1	1	1	0.0634920634920635	0.386243386243386	0	0.0476190476190476	0	0.00529100529100529	0.312169312169312	0.624338624338624	1	0	0.121693121693122	0.169312169312169	1	1	0.0105820105820106	0.195767195767196	0.0899470899470899	1		0.00529100529100529	1	0.0158730158730159	0.735449735449735	0.232804232804233	0	0.201058201058201	0.17989417989418	0	0	0.544973544973545	0.0740740740740741	0.037037037037037	0.00529100529100529	0	1	0	1	1	0.142857142857143	0.444444444444444	0	1	0.0105820105820106	0.153439153439153	0	1	0.661375661375661	0	1	0.00529100529100529	0.375661375661376	0.0211640211640212	1	1	0.100529100529101	0.0211640211640212	0.227513227513228	0.412698412698413	1	0.0687830687830688	0.0846560846560847	1	1	1	1	1	0.0529100529100529	0.132275132275132	0	0	0.0634920634920635	0.0317460317460317	0.174603174603175	0	0	0.00529100529100529
Helobdella_robusta	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0	0	0	0	0	0	0	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529		0.00529100529100529	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0	0	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0.00529100529100529	0	0.00529100529100529	0	0	0	0	0.00529100529100529	0	0	0
Homo_sapiens	1	0.481481481481481	0.481481481481481	0	1	1	1	1	0.137566137566138	0	1	0.0634920634920635	0.0158730158730159	1	0.0211640211640212	0.851851851851852	1	1	1	1	1	0.0634920634920635	0.386243386243386	0	0.0476190476190476	0	0.00529100529100529	0.312169312169312	0.624338624338624	1	0	0.121693121693122	0.169312169312169	1	1	0.0105820105820106	0.195767195767196	0.0899470899470899	1	1	0.00529100529100529		0.0158730158730159	0.735449735449735	0.232804232804233	0	0.201058201058201	0.17989417989418	0	0	0.544973544973545	0.0740740740740741	0.037037037037037	0.00529100529100529	0	1	0	1	1	0.142857142857143	0.444444444444444	0	1	0.0105820105820106	0.153439153439153	0	1	0.661375661375661	0	1	0.00529100529100529	0.375661375661376	0.0211640211640212	1	1	0.100529100529101	0.0211640211640212	0.227513227513228	0.412698412698413	1	0.0687830687830688	0.0846560846560847	1	1	1	1	1	0.0529100529100529	0.132275132275132	0	0	0.0634920634920635	0.0317460317460317	0.174603174603175	0	0	0.00529100529100529
Hormiphora_californensis	0.0158730158730159	0.0105820105820106	0.0105820105820106	0	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0105820105820106	0	0.0158730158730159	0.0105820105820106	0.0105820105820106	0.0158730158730159	0.0105820105820106	0.00529100529100529	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0105820105820106	0.0105820105820106	0	0.0105820105820106	0	0.00529100529100529	0.00529100529100529	0.0158730158730159	0.0158730158730159	0	0.00529100529100529	0	0.0158730158730159	0.0158730158730159	0	0.0105820105820106	0	0.0158730158730159	0.0158730158730159	0	0.0158730158730159		0.0158730158730159	0.00529100529100529	0	0.0105820105820106	0	0	0	0.0158730158730159	0.0105820105820106	0.0105820105820106	0	0	0.0158730158730159	0	0.0158730158730159	0.0158730158730159	0	0.0105820105820106	0	0.0158730158730159	0.0105820105820106	0.0158730158730159	0	0.0158730158730159	0.00529100529100529	0	0.0158730158730159	0.00529100529100529	0.0105820105820106	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0105820105820106	0	0.0105820105820106	0	0.0158730158730159	0	0.0105820105820106	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0158730158730159	0.0158730158730159	0	0	0	0	0	0	0.0105820105820106	0	0	0
Hyalonema_populiferum	0.735449735449735	0.216931216931217	0.216931216931217	0	0.735449735449735	0.735449735449735	0.735449735449735	0.735449735449735	0.0846560846560847	0	0.735449735449735	0.0634920634920635	0.0158730158730159	0.735449735449735	0.0211640211640212	0.587301587301587	0.735449735449735	0.735449735449735	0.735449735449735	0.735449735449735	0.735449735449735	0.0582010582010582	0.386243386243386	0	0.0264550264550265	0	0.00529100529100529	0.312169312169312	0.624338624338624	0.735449735449735	0	0.0423280423280423	0.153439153439153	0.735449735449735	0.735449735449735	0	0.0846560846560847	0.0846560846560847	0.735449735449735	0.735449735449735	0	0.735449735449735	0.0158730158730159		0.232804232804233	0	0.148148148148148	0.158730158730159	0	0	0.544973544973545	0.0740740740740741	0.037037037037037	0.00529100529100529	0	0.735449735449735	0	0.735449735449735	0.735449735449735	0.0317460317460317	0.17989417989418	0	0.735449735449735	0.0105820105820106	0.153439153439153	0	0.735449735449735	0.396825396825397	0	0.735449735449735	0.00529100529100529	0.111111111111111	0.0211640211640212	0.735449735449735	0.735449735449735	0.100529100529101	0	0.169312169312169	0.148148148148148	0.735449735449735	0.0423280423280423	0.0529100529100529	0.735449735449735	0.735449735449735	0.735449735449735	0.735449735449735	0.735449735449735	0.0317460317460317	0.100529100529101	0	0	0.0634920634920635	0.0317460317460317	0.121693121693122	0	0	0.00529100529100529
