	Abeoforma_whisleri	Acanthoeca_sp_10tr	Acanthoeca_spectabilis_VA_02	Aiptasia_pallida	Alatina_alata	Amoebidium_parasiticum_JAP72	Amphimedon_queenslandica	Antipathes_caribbeana	Aphrocallistes_vastus	Aplysia_californica	Atolla_vanhoeffeni	Aurelia_aurita	Beroe_abyssicola	Beroe_sp	Bolinopsis_infundibulum	Bolocera_tuedia	Branchiostoma_floridae	Capitella_teleta	Capsaspora_owczarzaki_atcc30864	Cestum_veneris	Choanoeca_perplexa_11	Chondrilla_nucula	Clathrina_coriacea	Clytia_hemisphaerica	Codosiga_hollandica_17	Coeloplana_species	Corticium_candelabrum	Craspedacusta_sowerbyi	Crassostrea_gigas	Creolimax_fragrantissima	Daphnia_pulex	Diaphanoeca_grandis_RI_01	Didymoeca_costata_10	Dryodora_glandiformis	Edwardsiella_lineata	Ephydatia_muelleri	Euplectella_aspergillum	Euplokamis_dunlapae	Gorgonia_ventalina	Grantia_compressa	Helobdella_robusta	Homo_sapiens	Hormiphora_californensis	Hyalonema_populiferum	Hydra_magnipapillata	Hydractinia_polyclina	Ircinia_fasciculata	Ixodes_scapularis	Kirkpatrickia_variolosa	Lampea_pancerina	Latrunculia_apicalis	Leuconia_nivea	Leucosolenia_complicata	Liriope_tetraphylla	Lucernariopsis_campanulata	Ministeria_vibrans	Mnemiopsis_leidyi	Monosiga_brevicollis_mx1	Montastraea_faveolata	Mycale_phyllophila	Mylnosiga_fluctuans_19	Nanomia_bijuga	Nematostella_vectensis	Oscarella_carmela	Oscarella_species	Pelagia_noctiluca	Pennatula_rubra	Periphylla_periphylla	Petrosia_ficiformis	Pirum_gemmata	Plakina_jani	Pleraplysilla_spinifera	Pleurobrachia_species	Plumapathes_pennacea	Porites_australiensis	Rossella_fibulata	Saccoglossus_kowalevskii	Salpingoeca_dolichothecata_16	Salpingoeca_helianthica_18	Salpingoeca_infusionum_12	Salpingoeca_macrocollata_06	Salpingoeca_punica_03	Salpingoeca_qvevrii_09	Salpingoeca_roanoka_13	Salpingoeca_rosetta	Salpingoeca_urceolata_04	Sphaeroforma_arctica_JP610	Spongilla_lacustris	Stephanoeca_diplocostata_AUFR	Stomolophus_meleagris	Strongylocentrotus_purpuratus	Sycon_ciliatum	Sycon_coactum	Sympagella_nux	Tribolium_castaneum	Trichoplax_adhaerens	Vallicula_multiformis
Chondrilla_nucula	0.184115523465704	0.0433212996389892	0.0108303249097473	0	0.0469314079422383	0.184115523465704	0.0072202166064982	0.0324909747292419	0.184115523465704	0	0.184115523465704	0.184115523465704	0.0722021660649819	0.184115523465704	0.184115523465704	0.122743682310469	0	0	0.184115523465704	0.184115523465704	0.0505415162454874		0.184115523465704	0.184115523465704	0.0433212996389892	0.0649819494584837	0.184115523465704	0.184115523465704	0.0180505415162455	0.184115523465704	0.184115523465704	0.0685920577617329	0.184115523465704	0.184115523465704	0.0613718411552347	0.184115523465704	0.184115523465704	0.0649819494584837	0.184115523465704	0.184115523465704	0.184115523465704	0	0	0.184115523465704	0.184115523465704	0.184115523465704	0	0.184115523465704	0.0433212996389892	0.0144404332129964	0.155234657039711	0.184115523465704	0.184115523465704	0.184115523465704	0.111913357400722	0.184115523465704	0	0.0180505415162455	0.0216606498194946	0.184115523465704	0.184115523465704	0.0469314079422383	0.0288808664259928	0.184115523465704	0.184115523465704	0.0469314079422383	0.184115523465704	0.0938628158844765	0.0144404332129964	0.184115523465704	0.184115523465704	0.0216606498194946	0	0.111913357400722	0.0541516245487365	0.184115523465704	0.0722021660649819	0.0577617328519856	0.184115523465704	0.108303249097473	0.0577617328519856	0.184115523465704	0.184115523465704	0.0505415162454874	0	0.0794223826714801	0.184115523465704	0.184115523465704	0.0072202166064982	0.0324909747292419	0.0613718411552347	0.184115523465704	0.184115523465704	0.180505415162455	0.184115523465704	0	0.0397111913357401
Clathrina_coriacea	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704		1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Clytia_hemisphaerica	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1		0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Codosiga_hollandica_17	0.0938628158844765	0.0397111913357401	0.0397111913357401	0	0.0288808664259928	0.0938628158844765	0	0	0.0938628158844765	0	0.0938628158844765	0.0938628158844765	0	0.0938628158844765	0.0938628158844765	0.0649819494584837	0.0108303249097473	0	0.0938628158844765	0.0938628158844765	0.0397111913357401	0.0433212996389892	0.0938628158844765	0.0938628158844765		0.0180505415162455	0.0938628158844765	0.0938628158844765	0.0180505415162455	0.0938628158844765	0.0938628158844765	0.0036101083032491	0.0938628158844765	0.0938628158844765	0.0433212996389892	0.0938628158844765	0.0938628158844765	0.0722021660649819	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0.0938628158844765	0.0288808664259928	0.0144404332129964	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0.0433212996389892	0.0216606498194946	0.0938628158844765	0.0938628158844765	0.0577617328519856	0.036101083032491	0.0938628158844765	0.0938628158844765	0.036101083032491	0.0938628158844765	0.0649819494584837	0.0144404332129964	0.0938628158844765	0.0938628158844765	0.0324909747292419	0	0.0938628158844765	0.0144404332129964	0.0938628158844765	0	0	0.0938628158844765	0.0397111913357401	0.0180505415162455	0.0938628158844765	0.0938628158844765	0.0036101083032491	0	0.0252707581227437	0.0938628158844765	0.0938628158844765	0.0216606498194946	0	0.0541516245487365	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0.0469314079422383
Coeloplana_species	0.0866425992779783	0	0	0	0.0216606498194946	0.0866425992779783	0	0.0180505415162455	0.0866425992779783	0.0108303249097473	0.0866425992779783	0.0866425992779783	0	0.0866425992779783	0.0866425992779783	0.0469314079422383	0	0	0.0866425992779783	0.0866425992779783	0	0.0649819494584837	0.0866425992779783	0.0866425992779783	0.0180505415162455		0.0866425992779783	0.0866425992779783	0.0180505415162455	0.0866425992779783	0.0866425992779783	0.0180505415162455	0.0866425992779783	0.0866425992779783	0.0469314079422383	0.0866425992779783	0.0866425992779783	0.0469314079422383	0.0866425992779783	0.0866425992779783	0.0866425992779783	0	0.0216606498194946	0.0866425992779783	0.0866425992779783	0.0866425992779783	0	0.0866425992779783	0.0036101083032491	0.0144404332129964	0.0866425992779783	0.0866425992779783	0.0866425992779783	0.0866425992779783	0.0685920577617329	0.0866425992779783	0	0	0.0072202166064982	0.0649819494584837	0.0866425992779783	0.0216606498194946	0.0144404332129964	0.0866425992779783	0.0866425992779783	0.0541516245487365	0.0866425992779783	0.0144404332129964	0	0.0866425992779783	0.0866425992779783	0.0072202166064982	0.0216606498194946	0.0649819494584837	0.0180505415162455	0.0866425992779783	0.0216606498194946	0.0216606498194946	0.0866425992779783	0.0252707581227437	0	0.0866425992779783	0.0866425992779783	0	0	0	0.0866425992779783	0.0866425992779783	0	0.0180505415162455	0.0469314079422383	0.0866425992779783	0.0866425992779783	0.0830324909747292	0.0866425992779783	0	0.0216606498194946
Corticium_candelabrum	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783		1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Craspedacusta_sowerbyi	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1		0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Crassostrea_gigas	0.0324909747292419	0	0	0	0.0144404332129964	0.0324909747292419	0	0	0.0324909747292419	0.0108303249097473	0.0324909747292419	0.0324909747292419	0	0.0324909747292419	0.0324909747292419	0.0180505415162455	0	0	0.0324909747292419	0.0324909747292419	0	0.0180505415162455	0.0324909747292419	0.0324909747292419	0.0180505415162455	0.0180505415162455	0.0324909747292419	0.0324909747292419		0.0324909747292419	0.0324909747292419	0.0072202166064982	0.0324909747292419	0.0324909747292419	0.0180505415162455	0.0324909747292419	0.0324909747292419	0.0180505415162455	0.0324909747292419	0.0324909747292419	0.0324909747292419	0	0.0108303249097473	0.0324909747292419	0.0324909747292419	0.0324909747292419	0	0.0324909747292419	0.0036101083032491	0.0072202166064982	0.0324909747292419	0.0324909747292419	0.0324909747292419	0.0324909747292419	0.0252707581227437	0.0324909747292419	0	0.0072202166064982	0.0180505415162455	0.0180505415162455	0.0324909747292419	0.0180505415162455	0.0180505415162455	0.0324909747292419	0.0324909747292419	0.0288808664259928	0.0324909747292419	0.0180505415162455	0.0108303249097473	0.0324909747292419	0.0324909747292419	0.0180505415162455	0.0108303249097473	0.0180505415162455	0.0108303249097473	0.0324909747292419	0.0144404332129964	0	0.0324909747292419	0.0036101083032491	0.0108303249097473	0.0324909747292419	0.0324909747292419	0	0	0.0108303249097473	0.0324909747292419	0.0324909747292419	0	0	0.0180505415162455	0.0324909747292419	0.0324909747292419	0.0324909747292419	0.0324909747292419	0	0.0180505415162455
Creolimax_fragrantissima	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419		1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Daphnia_pulex	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1		0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Diaphanoeca_grandis_RI_01	0.111913357400722	0.0288808664259928	0.0036101083032491	0	0.0505415162454874	0.111913357400722	0	0.0288808664259928	0.111913357400722	0.0036101083032491	0.111913357400722	0.111913357400722	0.0505415162454874	0.111913357400722	0.111913357400722	0.0722021660649819	0	0	0.111913357400722	0.111913357400722	0.0324909747292419	0.0685920577617329	0.111913357400722	0.111913357400722	0.0036101083032491	0.0180505415162455	0.111913357400722	0.111913357400722	0.0072202166064982	0.111913357400722	0.111913357400722		0.111913357400722	0.111913357400722	0.0252707581227437	0.111913357400722	0.111913357400722	0.0252707581227437	0.111913357400722	0.111913357400722	0.111913357400722	0	0.0036101083032491	0.111913357400722	0.111913357400722	0.111913357400722	0	0.111913357400722	0.0397111913357401	0	0.0866425992779783	0.111913357400722	0.111913357400722	0.111913357400722	0.0613718411552347	0.111913357400722	0	0.0108303249097473	0	0.0938628158844765	0.111913357400722	0.0108303249097473	0	0.111913357400722	0.111913357400722	0.036101083032491	0.111913357400722	0.0397111913357401	0	0.111913357400722	0.111913357400722	0.0252707581227437	0.0036101083032491	0.0541516245487365	0.0288808664259928	0.111913357400722	0.0577617328519856	0.0469314079422383	0.111913357400722	0.0505415162454874	0.0505415162454874	0.111913357400722	0.111913357400722	0.036101083032491	0	0.075812274368231	0.111913357400722	0.111913357400722	0.0072202166064982	0.0288808664259928	0.0252707581227437	0.111913357400722	0.111913357400722	0.111913357400722	0.111913357400722	0	0.0252707581227437
Didymoeca_costata_10	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722		1	0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Dryodora_glandiformis	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1		0.0938628158844765	1	1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Edwardsiella_lineata	0.0938628158844765	0	0	0	0.0505415162454874	0.0938628158844765	0	0	0.0938628158844765	0	0.0938628158844765	0.0938628158844765	0	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0	0.0938628158844765	0.0938628158844765	0	0.0613718411552347	0.0938628158844765	0.0938628158844765	0.0433212996389892	0.0469314079422383	0.0938628158844765	0.0938628158844765	0.0180505415162455	0.0938628158844765	0.0938628158844765	0.0252707581227437	0.0938628158844765	0.0938628158844765		0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0.0938628158844765	0	0.0144404332129964	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0.0072202166064982	0.0216606498194946	0.0938628158844765	0.0938628158844765	0.0216606498194946	0.036101083032491	0.0938628158844765	0.0938628158844765	0.0541516245487365	0.0938628158844765	0.036101083032491	0.0144404332129964	0.0938628158844765	0.0938628158844765	0.0541516245487365	0	0.0938628158844765	0.0144404332129964	0.0938628158844765	0	0.0216606498194946	0.0938628158844765	0.0252707581227437	0.0108303249097473	0.0938628158844765	0.0938628158844765	0	0	0.0469314079422383	0.0938628158844765	0.0938628158844765	0	0	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0.0938628158844765	0	0.0685920577617329
Ephydatia_muelleri	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765		1	0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Euplectella_aspergillum	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1		0.220216606498195	1	1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Euplokamis_dunlapae	0.220216606498195	0.0180505415162455	0.0180505415162455	0	0.0541516245487365	0.220216606498195	0	0	0.220216606498195	0	0.220216606498195	0.220216606498195	0.0036101083032491	0.220216606498195	0.220216606498195	0.205776173285199	0.0108303249097473	0	0.220216606498195	0.220216606498195	0.0180505415162455	0.0649819494584837	0.220216606498195	0.220216606498195	0.0722021660649819	0.0469314079422383	0.220216606498195	0.220216606498195	0.0180505415162455	0.220216606498195	0.220216606498195	0.0252707581227437	0.220216606498195	0.220216606498195	0.0938628158844765	0.220216606498195	0.220216606498195		0.220216606498195	0.220216606498195	0.220216606498195	0	0	0.220216606498195	0.220216606498195	0.220216606498195	0	0.220216606498195	0.0288808664259928	0.0144404332129964	0.220216606498195	0.220216606498195	0.220216606498195	0.220216606498195	0.216606498194946	0.220216606498195	0.0036101083032491	0.0252707581227437	0.0216606498194946	0.216606498194946	0.220216606498195	0.036101083032491	0.036101083032491	0.220216606498195	0.220216606498195	0.0541516245487365	0.220216606498195	0.0830324909747292	0.0144404332129964	0.220216606498195	0.220216606498195	0.0541516245487365	0	0.216606498194946	0.0144404332129964	0.220216606498195	0.0036101083032491	0.0252707581227437	0.220216606498195	0.0469314079422383	0.0180505415162455	0.220216606498195	0.220216606498195	0.0036101083032491	0	0.0469314079422383	0.220216606498195	0.220216606498195	0	0	0.1985559566787	0.220216606498195	0.220216606498195	0.220216606498195	0.220216606498195	0	0.0722021660649819
Gorgonia_ventalina	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195		1	1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Grantia_compressa	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1		1	0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Helobdella_robusta	1	0.075812274368231	0.0433212996389892	0	0.0866425992779783	1	0.0613718411552347	0.036101083032491	1	0.0108303249097473	1	1	0.368231046931408	1	1	0.469314079422383	0.0108303249097473	0	1	1	0.0830324909747292	0.184115523465704	1	1	0.0938628158844765	0.0866425992779783	1	1	0.0324909747292419	1	1	0.111913357400722	1	1	0.0938628158844765	1	1	0.220216606498195	1	1		0.0036101083032491	0.0216606498194946	1	1	1	0.223826714801444	1	0.0722021660649819	0.0144404332129964	0.729241877256318	1	1	1	0.371841155234657	1	0.0036101083032491	0.0794223826714801	0.0216606498194946	0.743682310469314	1	0.075812274368231	0.036101083032491	1	1	0.115523465703971	1	0.155234657039711	0.0144404332129964	1	1	0.0541516245487365	0.0216606498194946	0.433212996389892	0.0577617328519856	1	0.458483754512635	0.0722021660649819	1	0.36101083032491	0.0938628158844765	1	1	0.0722021660649819	0	0.140794223826715	1	1	0.036101083032491	0.0324909747292419	0.1985559566787	1	1	0.823104693140794	1	0	0.0722021660649819
Homo_sapiens	0.0036101083032491	0	0	0	0.0036101083032491	0.0036101083032491	0	0	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0.0036101083032491	0.0036101083032491	0.0036101083032491	0.0036101083032491	0	0	0.0036101083032491	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0.0036101083032491		0	0.0036101083032491	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0	0	0.0036101083032491	0.0036101083032491	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0	0	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0.0036101083032491	0.0036101083032491	0	0	0.0036101083032491	0.0036101083032491	0.0036101083032491	0	0	0	0.0036101083032491	0.0036101083032491	0.0036101083032491	0.0036101083032491	0	0
